n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, clique_f1, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime, approx_diff_f1
1000, 5, 1e-11, 6.999999999999999e-11, 7.0, 0.007052521969704607, 87768.3, 0.45814563361137245, 87768.3, 1.904489278793335, 0.521438807228602, 0.004311268512535195, 87864.9, 0.45687444373803154, 87864.9, 13.409359979629517, 0.5204247670995135
1000, 5, 1e-11, 7.5e-11, 7.5, 0.007528782327793199, 94067.7, 0.46080378914636533, 94067.7, 2.02187979221344, 0.5304968573828256, 0.004761977140658645, 94411.5, 0.45863602179167523, 94411.5, 14.291048336029053, 0.5293892511432194
1000, 5, 1e-11, 8e-11, 8.0, 0.00773744591322124, 99604.6, 0.46028758651762364, 99604.6, 2.139162373542786, 0.5328294302399792, 0.005036933468530972, 99586, 0.45950452532803676, 99586.0, 15.515900206565856, 0.5330826860495017
1000, 5, 1e-11, 8.499999999999999e-11, 8.5, 0.008406977381551667, 106665, 0.4622352195598957, 106665.0, 2.292299580574036, 0.5496671367150314, 0.005605896071312924, 106744.6, 0.4609443661541535, 106744.6, 16.154912066459655, 0.5496753139710444
1000, 5, 1e-11, 9e-11, 9.0, 0.008691016547084013, 112144.3, 0.4631370647057614, 112144.3, 2.530941367149353, 0.5509706761975507, 0.0059057237470255194, 112361.9, 0.4613966207877828, 112361.9, 18.09588189125061, 0.5491968473049155
1000, 5, 1e-11, 9.5e-11, 9.5, 0.008850810427191085, 118960.2, 0.4640997502443788, 118960.2, 2.676647400856018, 0.5706671933423907, 0.006116938924014439, 119212, 0.4620958225337913, 119212.0, 18.881329822540284, 0.5721785923996456
1000, 5, 1e-11, 9.999999999999999e-11, 10.0, 0.009068387740277848, 125297.2, 0.4640003706004688, 125297.2, 2.787358283996582, 0.5759634023637183, 0.006492467692138096, 125343.7, 0.46309701217238847, 125343.7, 19.32375841140747, 0.5757798752105321
1000, 5, 1e-11, 1.05e-10, 10.5, 0.00935226855050091, 130979.8, 0.46583413077318103, 130979.8, 2.838153910636902, 0.5601085049652812, 0.006707240188326074, 131399.3, 0.4634484712542826, 131399.3, 20.357029938697814, 0.5578007843507763
1000, 5, 1e-11, 1.1e-10, 11.0, 0.009648628850412939, 137311.4, 0.46555693325669517, 137311.4, 2.953854966163635, 0.5994760347359733, 0.00705903761658957, 137324.1, 0.464499002291768, 137324.1, 20.939150428771974, 0.5988172053893372
1000, 5, 1e-11, 1.1499999999999999e-10, 11.5, 0.009878475582651237, 143574.1, 0.4667553598606921, 143574.1, 3.148042821884155, 0.6249594518854266, 0.00751844303538938, 143821.4, 0.4650032711215322, 143821.4, 22.32659161090851, 0.6244939949277407
1000, 5, 1e-11, 1.2e-10, 12.0, 0.010388783372154707, 149330.2, 0.46699279961090095, 149330.2, 3.3005456209182737, 0.6464161228360678, 0.007723721467607781, 149429.4, 0.4659341025819874, 149429.4, 24.118960189819337, 0.6431646313738361
1000, 5, 1e-11, 1.2499999999999998e-10, 12.5, 0.010348387811525257, 155723.6, 0.46762948376583025, 155723.6, 3.44505934715271, 0.6466405841724395, 0.00793343089187583, 155943.7, 0.4661635564346825, 155943.7, 24.183984231948852, 0.6450601582802672
1000, 5, 1e-11, 1.3e-10, 13.0, 0.010287531257264768, 161614.1, 0.46771598975682555, 161614.1, 3.604352116584778, 0.7160380446252577, 0.007826209580294717, 161839.8, 0.4661420234512801, 161839.8, 25.373139429092408, 0.7221622655948277
