n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, diff_hyp_bipart, diff_hyp_vol, diff_clique_bipart, diff_clique_vol, diff_runtime, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime
100, 3, 0.0001, 0.00047000000000000004, 4.7, 0.034104107358051534, 1478.4, 0.37062015746574867, 1478.4, 0.021724510192871093, 0.020945539367287318, 1492, 0.35453708866306194, 1492.0, 29.303660535812377, 0.020739878283046406, 1493.1, 0.3540732116163797, 1493.1, 0.39403107166290285
100, 3, 0.0001, 0.0004800000000000001, 4.800000000000001, 0.030422480354834452, 1553.6, 0.36526033708781874, 1553.6, 0.02234981060028076, 0.022090195737167948, 1559.8, 0.3555908230897401, 1559.8, 32.38755247592926, 0.021893341753884174, 1560.6, 0.3552266750872175, 1560.6, 0.42890300750732424
100, 3, 0.0001, 0.0004900000000000001, 4.9, 0.029066869129064674, 1514.4, 0.3667898787776518, 1514.4, 0.021875715255737303, 0.019624682785543374, 1528.9, 0.35418385734772206, 1528.9, 30.700015950202943, 0.019399850330364548, 1530.2, 0.3536873425518954, 1530.2, 0.4104757308959961
100, 3, 0.0001, 0.0005, 5.0, 0.033120387945621804, 1567.9, 0.3686093007899072, 1567.9, 0.022769689559936523, 0.021332602300493744, 1575.4, 0.3552218189247751, 1575.4, 31.08686852455139, 0.02084789618075726, 1577.2, 0.3543504342518233, 1577.2, 0.427949857711792
100, 3, 0.0001, 0.00051, 5.1000000000000005, 0.03517090483595864, 1618.6, 0.3708697059089945, 1618.6, 0.030335092544555665, 0.02513700579901312, 1628.9, 0.3586862285969406, 1628.9, 29.72145481109619, 0.024930366884242088, 1627, 0.35886673619179044, 1627.0, 0.4021031618118286
100, 3, 0.0001, 0.0005200000000000001, 5.2, 0.03346661350343656, 1631.8, 0.3687919795236675, 1631.8, 0.023184442520141603, 0.022670166846501184, 1639.2, 0.3564522181285525, 1639.2, 29.590141820907593, 0.02243272099074425, 1639.1, 0.3563005850061387, 1639.1, 0.4018744945526123
100, 3, 0.0001, 0.0005300000000000001, 5.300000000000001, 0.03684607873103315, 1667.6, 0.37217329567639224, 1667.6, 0.023690962791442872, 0.02646265398481027, 1676.7, 0.3600470858743269, 1676.7, 27.262896728515624, 0.025187868541437997, 1677.9, 0.3585212018747713, 1677.9, 0.43302168846130373
100, 3, 0.0001, 0.0005400000000000001, 5.4, 0.03791963282576636, 1718.5, 0.3721770379154618, 1718.5, 0.02365157604217529, 0.025873534696099525, 1722.8, 0.3592818586556046, 1722.8, 30.835808157920837, 0.025543071244984863, 1723.2, 0.3588764045783182, 1723.2, 0.4008152723312378
100, 3, 0.0001, 0.00055, 5.5, 0.03555844441932007, 1718.4, 0.37027484248843007, 1718.4, 0.02358074188232422, 0.025553601716070403, 1723.9, 0.35924513142529924, 1723.9, 28.52090311050415, 0.02543944059509228, 1724.6, 0.35898254946859764, 1724.6, 0.4189577341079712
100, 3, 0.0001, 0.0005600000000000001, 5.6000000000000005, 0.03783053694234866, 1724.4, 0.3755183572864778, 1724.4, 0.02400786876678467, 0.025794869595191842, 1746.7, 0.359222953733907, 1746.7, 27.91105012893677, 0.025477627865471936, 1746.1, 0.3590201264393453, 1746.1, 0.42647476196289064
100, 3, 0.0001, 0.0005700000000000001, 5.7, 0.03462528312313662, 1756.4, 0.3698346163229519, 1756.4, 0.026775097846984862, 0.02670834091331598, 1762.8, 0.3607397545258814, 1762.8, 28.783192849159242, 0.026156206694190994, 1766.4, 0.3594895400275243, 1766.4, 0.40245463848114016
100, 3, 0.0001, 0.0005800000000000001, 5.800000000000001, 0.03580325596346761, 1791.3, 0.37170758397669856, 1791.3, 0.024636387825012207, 0.025754310802004007, 1805.7, 0.35908764413533734, 1805.7, 28.066421818733215, 0.025155403071992762, 1803.6, 0.3588687581208527, 1803.6, 0.4357818841934204
100, 3, 0.0001, 0.00059, 5.9, 0.042266428208005316, 1825.2, 0.37718781206661556, 1825.2, 0.024688315391540528, 0.030517533110445482, 1832.1, 0.36418419977711214, 1832.1, 27.51955416202545, 0.03005637438396052, 1830.9, 0.36382509263517027, 1830.9, 0.4500107288360596
100, 3, 0.0001, 0.0006000000000000001, 6.0, 0.03793765828965112, 1884.2, 0.3725128954595453, 1884.2, 0.02525632381439209, 0.02901077716794621, 1888.1, 0.3628809070380761, 1888.1, 26.822831106185912, 0.02873126785420116, 1887.5, 0.3627072970360667, 1887.5, 0.42195677757263184
