,strDrink,strAlcoholic,strCategory,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
443,Rum Sour,Alcoholic,Ordinary Drink,Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,
444,Rum Toddy,Alcoholic,Ordinary Drink,Rum,Powdered sugar,Lemon peel,Water,,,,,,,,,,,
445,Russian Spring Punch,Alcoholic,Ordinary Drink,Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,,,
446,Rusty Nail,Alcoholic,Ordinary Drink,Scotch,Drambuie,Lemon peel,,,,,,,,,,,,
447,Salty Dog,Alcoholic,Ordinary Drink,Grapefruit juice,Gin,Salt,,,,,,,,,,,,
448,San Francisco,Alcoholic,Ordinary Drink,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,,,
449,Sangria #1,Alcoholic,Punch / Party Drink,Red wine,Sugar,Orange juice,Lemon juice,Cloves,Cinnamon,,,,,,,,,
450,Sangria - The World's Best,Alcoholic,Punch / Party Drink,Red wine,Sugar,Lemon,Orange,Apple,Brandy,Soda water,,,,,,,,
451,Sazerac,Alcoholic,Ordinary Drink,Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,,,,,,
452,Scooter,Alcoholic,Ordinary Drink,Brandy,Amaretto,Light cream,,,,,,,,,,,,
453,Scotch Cobbler,Alcoholic,Ordinary Drink,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,
454,Scotch Sour,Alcoholic,Ordinary Drink,Scotch,Lime,Powdered sugar,Lemon,Cherry,,,,,,,,,,
455,Scottish Highland Liqueur,Alcoholic,Homemade Liqueur,Johnnie Walker,Honey,Angelica root,Fennel seeds,Lemon peel,,,,,,,,,,
456,Screaming Orgasm,Alcoholic,Ordinary Drink,Vodka,Bailey's irish cream,Kahlua,,,,,,,,,,,,
457,Screwdriver,Alcoholic,Ordinary Drink,Vodka,Orange juice,,,,,,,,,,,,,
458,Sea breeze,Alcoholic,Ordinary Drink,Vodka,Cranberry juice,Grapefruit juice,,,,,,,,,,,,
459,Sex on the Beach,Alcoholic,Ordinary Drink,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,,,,,,
460,Shanghai Cocktail,Alcoholic,Ordinary Drink,Light rum,Anisette,Grenadine,Lemon,,,,,,,,,,,
461,Shark Attack,Alcoholic,Cocktail,Lemonade,Water,Vodka,,,,,,,,,,,,
462,Sherry Eggnog,Alcoholic,Ordinary Drink,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,,,,,,
463,Sherry Flip,Alcoholic,Ordinary Drink,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,
464,Shot-gun,Alcoholic,Shot,Jim Beam,Jack Daniels,Wild Turkey,,,,,,,,,,,,
465,Sidecar,Alcoholic,Ordinary Drink,Cognac,Cointreau,Lemon juice,,,,,,,,,,,,
466,Sidecar Cocktail,Alcoholic,Ordinary Drink,Brandy,Triple sec,Lemon,,,,,,,,,,,,
467,Singapore Sling,Alcoholic,Ordinary Drink,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,,,,,,
468,Sloe Gin Cocktail,Alcoholic,Ordinary Drink,Sloe gin,Dry Vermouth,Orange bitters,,,,,,,,,,,,
469,Smut,Alcoholic,Punch / Party Drink,Red wine,Peach schnapps,Pepsi Cola,Orange juice,,,,,,,,,,,
470,Snake Bite (UK),Alcoholic,Beer,Lager,Cider,,,,,,,,,,,,,
471,Snakebite and Black,Alcoholic,Beer,Lager,Cider,Blackcurrant squash,,,,,,,,,,,,
472,Snowball,Alcoholic,Ordinary Drink,Advocaat,Lemonade,Lemon,Ice,,,,,,,,,,,
473,Sol Y Sombra,Alcoholic,Ordinary Drink,Brandy,Anisette,,,,,,,,,,,,,
474,Space Odyssey,Alcoholic,Ordinary Drink,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,,,,,,
475,Spanish chocolate,Non alcoholic,Cocoa,Milk,Chocolate,Cinnamon,Egg yolk,,,,,,,,,,,
476,Spiced Peach Punch,Non alcoholic,Punch / Party Drink,Peach nectar,Orange juice,Brown sugar,Cinnamon,Cloves,Lime juice,,,,,,,,,
477,Spiking coffee,Non alcoholic,Coffee / Tea,Coffee,Cinnamon,,,,,,,,,,,,,
478,Spritz,Alcoholic,Ordinary Drink,Prosecco,Campari,Soda Water,,,,,,,,,,,,
479,Stinger,Alcoholic,Ordinary Drink,Brandy,White Creme de Menthe,,,,,,,,,,,,,
480,Stone Sour,Alcoholic,Ordinary Drink,Apricot brandy,Orange juice,Sweet and sour,,,,,,,,,,,,
481,Strawberry Daiquiri,Alcoholic,Ordinary Drink,Strawberry schnapps,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,,,,,,
482,Strawberry Lemonade,Non alcoholic,Punch / Party Drink,Lemon,Sugar,Strawberries,Water,,,,,,,,,,,
483,Strawberry Margarita,Alcoholic,Ordinary Drink,Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,,,,,,
484,Strawberry Shivers,Non alcoholic,Other/Unknown,Strawberries,Honey,Water,,,,,,,,,,,,
485,Sunny Holiday Punch,Optional alcohol,Punch / Party Drink,Pineapple juice,Club soda,Orange juice,Lemon,Berries,Champagne,,,,,,,,,
486,Surf City Lifesaver,Alcoholic,Ordinary Drink,Ouzo,Bailey's irish cream,Gin,Grand Marnier,,,,,,,,,,,
487,Swedish Coffee,Alcoholic,Coffee / Tea,Coffee,Aquavit,Sugar,,,,,,,,,,,,
488,Sweet Bananas,Non alcoholic,Milk / Float / Shake,Milk,Banana,Honey,,,,,,,,,,,,
489,Sweet Sangria,Alcoholic,Punch / Party Drink,Red wine,Sugar,Water,Apple,Orange,Lime,Lemon,Fresca,,,,,,,
490,Sweet Tooth,Alcoholic,Milk / Float / Shake,Godiva liqueur,Milk,,,,,,,,,,,,,
491,Talos Coffee,Alcoholic,Coffee / Tea,Grand Marnier,Coffee,,,,,,,,,,,,,
492,Tennesee Mud,Alcoholic,Coffee / Tea,Coffee,Jack Daniels,Amaretto,Whipped cream,,,,,,,,,,,
493,Tequila Fizz,Alcoholic,Ordinary Drink,Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,,,,,,,,,,
494,Tequila Sour,Alcoholic,Ordinary Drink,Tequila,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,
495,Tequila Sunrise,Alcoholic,Cocktail,Tequila,Orange juice,Grenadine,,,,,,,,,,,,
496,Tequila Surprise,Alcoholic,Shot,Tequila,Tabasco sauce,,,,,,,,,,,,,
497,Texas Rattlesnake,Alcoholic,Shot,Yukon Jack,Cherry brandy,Southern Comfort,Sweet and sour,,,,,,,,,,,
498,Texas Sling,Alcoholic,Milk / Float / Shake,Kahlua,Irish cream,Amaretto,151 proof rum,Cream,,,,,,,,,,
499,Thai Coffee,Non alcoholic,Coffee / Tea,Coffee,Coriander,Cardamom,Sugar,Whipping cream,Ice,,,,,,,,,
500,Thai Iced Coffee,Non alcoholic,Coffee / Tea,Coffee,Sugar,Cream,Cardamom,,,,,,,,,,,
501,Thai Iced Tea,Non alcoholic,Coffee / Tea,Tea,Water,Condensed milk,Ice,Mint,,,,,,,,,,
502,The Evil Blue Thing,Alcoholic,Cocktail,Creme de Cacao,Blue Curacao,Light rum,,,,,,,,,,,,
503,Thriller,Alcoholic,Ordinary Drink,Scotch,Wine,Orange juice,,,,,,,,,,,,
504,Tia-Maria,Alcoholic,Homemade Liqueur,Water,Brown sugar,Coffee,Rum,Vanilla extract,,,,,,,,,,
505,Tom Collins,Alcoholic,Ordinary Drink,Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,
506,Tomato Tang,Non alcoholic,Other/Unknown,Tomato juice,Lemon juice,Celery salt,,,,,,,,,,,,
507,Tommy's Margarita,Alcoholic,Ordinary Drink,Tequila,Lime Juice,Agave syrup,,,,,,,,,,,,
508,Turf Cocktail,Alcoholic,Ordinary Drink,Dry Vermouth,Gin,Anis,Bitters,Orange peel,,,,,,,,,,
509,Turkeyball,Alcoholic,Shot,Wild Turkey,Amaretto,Pineapple juice,,,,,,,,,,,,
510,Tuxedo Cocktail,Alcoholic,Ordinary Drink,Dry Vermouth,Gin,Maraschino liqueur,Anis,Orange bitters,Cherry,,,,,,,,,
511,Valencia Cocktail,Alcoholic,Ordinary Drink,Apricot brandy,Orange juice,Orange bitters,,,,,,,,,,,,
512,Vampiro,Alcoholic,Ordinary Drink,Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,,,,,,
513,Van Vleet,Alcoholic,Ordinary Drink,Light rum,Maple syrup,Lemon juice,,,,,,,,,,,,
514,Vermouth Cassis,Alcoholic,Ordinary Drink,Dry Vermouth,Creme de Cassis,Carbonated water,,,,,,,,,,,,
515,Vesper,Alcoholic,Cocktail,Gin,Vodka,Lillet Blanc,,,,,,,,,,,,
516,Vesuvio,Alcoholic,Ordinary Drink,Light rum,Sweet Vermouth,Lemon,Powdered sugar,Egg white,,,,,,,,,,
517,Veteran,Alcoholic,Ordinary Drink,Dark rum,Cherry brandy,,,,,,,,,,,,,
518,Victor,Alcoholic,Ordinary Drink,Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,
519,Victory Collins,Alcoholic,Ordinary Drink,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,,,,,,,,,,
520,Vodka And Tonic,Alcoholic,Ordinary Drink,Vodka,Tonic water,,,,,,,,,,,,,
521,Vodka Fizz,Alcoholic,Other/Unknown,Vodka,Half-and-half,Limeade,Ice,Nutmeg,,,,,,,,,,
522,Vodka Martini,Alcoholic,Ordinary Drink,Vodka,Dry Vermouth,Olive,,,,,,,,,,,,
523,Vodka Russian,Alcoholic,Ordinary Drink,Vodka,Schweppes Russchian,,,,,,,,,,,,,
524,Waikiki Beachcomber,Alcoholic,Ordinary Drink,Triple sec,Gin,Pineapple juice,,,,,,,,,,,,
525,Whiskey Sour,Alcoholic,Ordinary Drink,Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,,,,,,,,,,
526,Whisky Mac,Alcoholic,Ordinary Drink,Scotch,Wine,,,,,,,,,,,,,
527,White Lady,Alcoholic,Ordinary Drink,Gin,Triple Sec,Lemon Juice,,,,,,,,,,,,
528,White Russian,Alcoholic,Ordinary Drink,Vodka,Coffee liqueur,Light cream,,,,,,,,,,,,
529,Whitecap Margarita,Alcoholic,Other/Unknown,Ice,Tequila,Cream of coconut,Lime juice,,,,,,,,,,,
530,Wine Cooler,Optional alcohol,Punch / Party Drink,Red wine,Lemon-lime soda,Ice,,,,,,,,,,,,
531,Wine Punch,Alcoholic,Punch / Party Drink,Red wine,Lemon,Orange juice,Orange,Pineapple juice,,,,,,,,,,
532,Yellow Bird,Alcoholic,Cocktail,White Rum,Galliano,Triple Sec,Lime Juice,,,,,,,,,,,
533,Yoghurt Cooler,Non alcoholic,Other/Unknown,Yoghurt,Fruit,Ice,,,,,,,,,,,,
534,Zambeer,Alcoholic,Soft Drink / Soda,Sambuca,Root beer,Ice,,,,,,,,,,,,
535,Zenmeister,Alcoholic,Ordinary Drink,Jägermeister,Root beer,,,,,,,,,,,,,
536,Ziemes Martini Apfelsaft,Alcoholic,Ordinary Drink,Vermouth,Apple juice,,,,,,,,,,,,,
537,Zima Blaster,Alcoholic,Ordinary Drink,Zima,Chambord raspberry liqueur,,,,,,,,,,,,,
538,Zimadori Zinger,Alcoholic,Punch / Party Drink,Midori melon liqueur,Zima,,,,,,,,,,,,,
539,Zinger,Alcoholic,Soft Drink / Soda,Peachtree schnapps,Surge,,,,,,,,,,,,,
540,Zipperhead,Alcoholic,Shot,Chambord raspberry liqueur,Vodka,Soda water,,,,,,,,,,,,
541,Zippy's Revenge,Alcoholic,Cocktail,Amaretto,Rum,Kool-Aid,,,,,,,,,,,,
542,Zizi Coin-coin,Alcoholic,Punch / Party Drink,Cointreau,Lemon juice,Ice,Lemon,,,,,,,,,,,
543,Zoksel,Alcoholic,Soft Drink / Soda,Beer,Root beer,Lemonade,Coca-Cola,7-Up,Creme de Cassis,Lemon,,,,,,,,
544,Zorbatini,Alcoholic,Cocktail,Vodka,Ouzo,,,,,,,,,,,,,
545,Zorro,Alcoholic,Coffee / Tea,Sambuca,Bailey's irish cream,White Creme de Menthe,,,,,,,,,,,,
