run_id,configuration_id,vertices,edge_multiplier,edges,rank,step_size,diffusion_bipartiteness,diffusion_volume,diffusion_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
22,3,10,2,20,3,1,0.0,56,0.9918608665466309,0.0,56,0.03515148162841797
23,3,10,2,20,3,1,0.0,52,1.2425236701965332,0.0,52,0.029758453369140625
24,3,10,2,20,3,1,0.03333333333333333,60,4.858935832977295,0.0,57,0.042688608169555664
25,3,10,2,20,3,1,0.0,56,1.1182177066802979,0.0,56,0.04475116729736328
26,3,10,2,20,3,1,0.03333333333333333,60,4.9149463176727295,0.0,60,0.04752683639526367
27,3,10,2,20,3,1,0.03333333333333333,60,4.795591592788696,0.03333333333333333,60,0.1290750503540039
28,3,10,2,20,3,1,0.0,59,1.3409509658813477,0.0,60,0.04587078094482422
29,3,10,2,20,3,1,0.0,56,1.2877333164215088,0.0,56,0.043172597885131836
30,3,10,2,20,3,1,0.03333333333333333,60,5.052181243896484,0.03333333333333333,60,0.12660002708435059
31,4,10,2,20,3,2,0.26666666666666666,60,1.4412684440612793,0.37254901960784315,51,0.06609559059143066
32,4,10,2,20,3,2,0.4,60,1.2300760746002197,0.5849056603773585,53,0.06592845916748047
33,4,10,2,20,3,2,0.4444444444444444,54,1.5259251594543457,0.3584905660377358,53,0.06633114814758301
34,4,10,2,20,3,2,0.28846153846153844,52,1.2915232181549072,0.36363636363636365,55,0.0657050609588623
35,4,10,2,20,3,2,0.3333333333333333,60,1.4114539623260498,0.3090909090909091,55,0.06628942489624023
36,4,10,2,20,3,2,0.38181818181818183,55,1.4143822193145752,0.34,50,0.06645870208740234
37,4,10,2,20,3,2,0.26666666666666666,60,1.4555573463439941,0.43333333333333335,60,0.06609463691711426
38,4,10,2,20,3,2,0.2222222222222222,54,1.5147531032562256,0.3888888888888889,54,0.06586551666259766
39,4,10,2,20,3,2,0.26666666666666666,60,1.357384204864502,0.23333333333333334,60,0.06624674797058105
40,4,10,2,20,3,2,0.3333333333333333,60,1.3037800788879395,0.2,55,0.06578850746154785
41,5,10,2,20,3,5,0.5909090909090909,44,0.3594346046447754,0.36666666666666664,60,0.029184579849243164
42,5,10,2,20,3,5,0.4727272727272727,55,0.4471163749694824,0.5897435897435898,39,0.028952360153198242
43,5,10,2,20,3,5,0.5384615384615384,39,0.44719743728637695,0.5882352941176471,34,0.0289461612701416
44,5,10,2,20,3,5,0.6041666666666666,48,0.4552185535430908,0.5333333333333333,60,0.029009342193603516
45,5,10,2,20,3,5,0.5952380952380952,42,0.4539642333984375,0.5833333333333334,48,0.029094457626342773
46,5,10,2,20,3,5,0.5581395348837209,43,0.44888901710510254,0.6122448979591837,49,0.029205799102783203
47,5,10,2,20,3,5,0.5333333333333333,60,0.4996192455291748,0.5666666666666667,60,0.029076337814331055
48,5,10,2,20,3,5,0.6136363636363636,44,0.45177149772644043,0.6041666666666666,48,0.02909111976623535
49,5,10,2,20,3,5,0.6,40,0.39531469345092773,0.59375,32,0.02894878387451172
50,5,10,2,20,3,5,0.5666666666666667,60,0.4909546375274658,0.5555555555555556,45,0.028943777084350586
51,6,10,4,40,3,0.1,0.03333333333333333,120,9.9834463596344,0.03333333333333333,120,0.23088407516479492
52,6,10,4,40,3,0.1,0.05,120,11.687281131744385,0.05,120,0.22112345695495605
53,6,10,4,40,3,0.1,0.03333333333333333,120,10.560996055603027,0.03333333333333333,120,0.33631300926208496
54,6,10,4,40,3,0.1,0.03333333333333333,120,13.391560077667236,0.03333333333333333,120,0.2796816825866699
55,6,10,4,40,3,0.1,0.05,120,13.71297311782837,0.06666666666666667,120,0.336165189743042
56,6,10,4,40,3,0.1,0.046296296296296294,108,13.322868585586548,0.016666666666666666,120,0.4847140312194824
57,6,10,4,40,3,0.1,0.0990990990990991,111,14.572665691375732,0.016666666666666666,120,0.25735998153686523
58,6,10,4,40,3,0.1,0.03333333333333333,120,15.569503784179688,0.03333333333333333,120,0.5183055400848389
59,6,10,4,40,3,0.1,0.05,120,19.33873414993286,0.08333333333333333,120,0.37596559524536133
60,6,10,4,40,3,0.1,0.044642857142857144,112,18.99846124649048,0.05,120,0.3585829734802246
61,7,10,4,40,3,0.5,0.03333333333333333,120,5.030670166015625,0.05,120,0.2779271602630615
62,7,10,4,40,3,0.5,0.03333333333333333,120,3.6924703121185303,0.03333333333333333,120,0.27228379249572754
63,7,10,4,40,3,0.5,0.05,120,9.736901998519897,0.05,120,0.2750258445739746
64,7,10,4,40,3,0.5,0.016666666666666666,120,2.499281644821167,0.016666666666666666,120,0.05518960952758789
65,7,10,4,40,3,0.5,0.1,120,5.845985174179077,0.1,120,0.2742736339569092
66,7,10,4,40,3,0.5,0.016666666666666666,120,9.639768362045288,0.016666666666666666,120,0.27242064476013184
67,7,10,4,40,3,0.5,0.0,120,4.143619775772095,0.06666666666666667,120,0.2716491222381592
68,7,10,4,40,3,0.5,0.08333333333333333,120,3.4790592193603516,0.08333333333333333,120,0.13206863403320312
69,7,10,4,40,3,0.5,0.05,120,2.571178436279297,0.05,120,0.2766382694244385
70,7,10,4,40,3,0.5,0.06666666666666667,120,3.791931629180908,0.06666666666666667,120,0.28203797340393066
71,8,10,4,40,3,1,0.06666666666666667,120,3.686349630355835,0.06666666666666667,120,0.14225149154663086
72,8,10,4,40,3,1,0.05,120,4.688401937484741,0.08333333333333333,120,0.13895106315612793
73,8,10,4,40,3,1,0.05,120,3.8931021690368652,0.1,120,0.1449909210205078
74,8,10,4,40,3,1,0.08333333333333333,120,2.6369519233703613,0.08333333333333333,120,0.13913369178771973
75,8,10,4,40,3,1,0.05,120,5.060981273651123,0.05,120,0.1401655673980713
76,8,10,4,40,3,1,0.05,120,3.915543556213379,0.05,120,0.14046502113342285
77,8,10,4,40,3,1,0.06666666666666667,120,4.340526580810547,0.06666666666666667,120,0.14250779151916504
78,8,10,4,40,3,1,0.016666666666666666,120,6.250445365905762,0.05,120,0.14680194854736328
79,8,10,4,40,3,1,0.06666666666666667,120,3.485042095184326,0.06666666666666667,120,0.14953136444091797
80,8,10,4,40,3,1,0.06666666666666667,120,3.2544684410095215,0.05,120,0.14626359939575195
81,9,10,4,40,3,2,0.38333333333333336,120,1.5849213600158691,0.45871559633027525,109,0.07648229598999023
