run_id,configuration_id,vertices,edge_multiplier,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,diffusion_clique_bipartiteness,diffusion_clique_volume,diffusion_clique_runtime,random_bipartiteness,random_volume,random_runtime,diffusion_random_bipartiteness,diffusion_random_volume,diffusion_random_runtime
28,3,200,2,400,3,0.0247229326513214,1173,0.738262414932251,0.008333333333333333,1200,1.702911615371704,0.14944491887275832,1171,3.646425724029541,0.025,1200,8.016205310821533
29,3,200,2,400,3,0.022632020117351215,1193,0.7460448741912842,0.015,1200,1.6939024925231934,0.16134453781512606,1190,3.6398067474365234,0.02666666666666667,1200,8.271032571792603
30,3,200,2,400,3,0.03185247275775356,1193,0.7422645092010498,0.011666666666666667,1200,1.725388765335083,0.15025906735751296,1158,3.6772844791412354,0.02666666666666667,1200,8.553146123886108
31,4,200,4,800,3,0.06542845082313212,2369,1.4261205196380615,0.043333333333333335,2400,2.738426685333252,0.1425,2400,6.88191032409668,0.06166666666666667,2400,13.540611028671265
32,4,200,4,800,3,0.05914429530201342,2384,1.3823845386505127,0.045,2400,2.723402500152588,0.15365239294710328,2382,6.8672850131988525,0.056666666666666664,2400,13.554266691207886
33,4,200,4,800,3,0.062282229965156796,2296,1.396134853363037,0.049166666666666664,2400,2.759918212890625,0.14074387151310228,2366,6.82898736000061,0.05583333333333333,2400,13.659687757492065
34,4,200,4,800,3,0.056666666666666664,2400,1.3983831405639648,0.041666666666666664,2400,2.78775691986084,0.15916666666666668,2400,6.9147584438323975,0.056666666666666664,2400,13.80383014678955
35,4,200,4,800,3,0.06333333333333334,2400,1.389744520187378,0.045,2400,2.7296555042266846,0.15916666666666668,2400,6.960663795471191,0.049166666666666664,2400,13.559093713760376
36,4,200,4,800,3,0.059166666666666666,2400,1.3837289810180664,0.04666666666666667,2400,2.720728635787964,0.16166666666666665,2400,6.838120460510254,0.05583333333333333,2400,13.599982976913452
37,4,200,4,800,3,0.05956375838926174,2384,1.420116662979126,0.04583333333333333,2400,2.717827081680298,0.165,2400,6.8789589405059814,0.0575,2400,13.5990891456604
38,4,200,4,800,3,0.0625,2400,1.3982970714569092,0.045,2400,2.2637810707092285,0.16583333333333333,2400,6.865098237991333,0.056666666666666664,2400,13.680807828903198
39,4,200,4,800,3,0.058333333333333334,2400,1.466458797454834,0.04583333333333333,2400,2.920926570892334,0.15416666666666667,2400,6.92861008644104,0.060833333333333336,2400,13.779931545257568
