run_id,configuration_id,vertices,edge_function_id,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
82,9,50,1,200,3,0.06333333333333334,600,0.050667762756347656,0.05333333333333334,600,1.0927562713623047
83,9,50,1,200,3,0.05,600,0.05086541175842285,0.043333333333333335,600,0.7223165035247803
84,9,50,1,200,3,0.07333333333333333,600,0.05035877227783203,0.056666666666666664,600,1.456258773803711
85,9,50,1,200,3,0.06666666666666667,570,0.05078625679016113,0.043333333333333335,600,1.6213631629943848
86,9,50,1,200,3,0.07333333333333333,600,0.05101728439331055,0.06,600,0.8603630065917969
87,9,50,1,200,3,0.05333333333333334,600,0.05017805099487305,0.043333333333333335,600,1.1846635341644287
88,9,50,1,200,3,0.050761421319796954,591,0.05452084541320801,0.043333333333333335,600,0.9636385440826416
89,9,50,1,200,3,0.07,600,0.054152488708496094,0.05,600,1.8327150344848633
90,9,50,1,200,3,0.07863247863247863,585,0.050928592681884766,0.07333333333333333,600,0.9667990207672119
91,10,50,2,150,3,0.04888888888888889,450,0.04132676124572754,0.04,450,0.855400562286377
92,10,50,2,150,3,0.05333333333333334,450,0.042293548583984375,0.04888888888888889,450,0.8906388282775879
93,10,50,2,150,3,0.057777777777777775,450,0.0406641960144043,0.03111111111111111,450,0.7373294830322266
94,10,50,2,150,3,0.06222222222222222,450,0.04164433479309082,0.04888888888888889,450,1.028378963470459
95,10,50,2,150,3,0.03854875283446712,441,0.04122638702392578,0.022222222222222223,450,1.0750443935394287
96,10,50,2,150,3,0.04,450,0.04033994674682617,0.02666666666666667,450,1.0678436756134033
97,10,50,2,150,3,0.04640371229698376,431,0.04009366035461426,0.02666666666666667,450,0.9812045097351074
98,10,50,2,150,3,0.06132075471698113,424,0.04027080535888672,0.04,450,0.9610226154327393
99,10,50,2,150,3,0.04,450,0.04103827476501465,0.02666666666666667,450,0.71994948387146
100,10,50,2,150,3,0.057777777777777775,450,0.04189658164978027,0.035555555555555556,450,0.705826997756958
101,11,60,1,240,3,0.05500705218617771,709,0.07633256912231445,0.03333333333333333,720,0.8449652194976807
