run_id,configuration_id,vertices,edge_multiplier,edges,rank,step_size,diffusion_bipartiteness,diffusion_volume,diffusion_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
62,7,10,4,40,3,0.5,0.03333333333333333,120,5.600142240524292,0.03333333333333333,120,0.2738363742828369
63,7,10,4,40,3,0.5,0.05,120,10.742369651794434,0.05,120,0.10782909393310547
64,7,10,4,40,3,0.5,0.08333333333333333,120,6.435851335525513,0.06666666666666667,120,0.2736668586730957
65,7,10,4,40,3,0.5,0.06666666666666667,120,3.6533713340759277,0.06666666666666667,120,0.2728404998779297
66,7,10,4,40,3,0.5,0.11666666666666667,120,4.846839189529419,0.08333333333333333,120,0.2912881374359131
67,7,10,4,40,3,0.5,0.03333333333333333,120,10.357736825942993,0.016666666666666666,120,0.2799665927886963
68,7,10,4,40,3,0.5,0.06666666666666667,120,7.118795394897461,0.06666666666666667,120,0.2729647159576416
69,7,10,4,40,3,0.5,0.016666666666666666,120,2.8595266342163086,0.016666666666666666,120,0.05810546875
70,7,10,4,40,3,0.5,0.03333333333333333,120,4.978482484817505,0.03333333333333333,120,0.27359437942504883
71,8,10,4,40,3,1,0.05,120,4.750014543533325,0.03333333333333333,120,0.14104437828063965
72,8,10,4,40,3,1,0.03333333333333333,120,5.1406567096710205,0.03333333333333333,120,0.146728515625
73,8,10,4,40,3,1,0.06666666666666667,120,4.076030731201172,0.05,120,0.13935446739196777
74,8,10,4,40,3,1,0.016666666666666666,120,1.4558980464935303,0.016666666666666666,120,0.14335227012634277
75,8,10,4,40,3,1,0.05,120,5.615869045257568,0.05,120,0.1406419277191162
76,8,10,4,40,3,1,0.05,120,4.082010269165039,0.05,120,0.14205336570739746
77,8,10,4,40,3,1,0.08333333333333333,120,2.7485129833221436,0.06666666666666667,120,0.14012861251831055
78,8,10,4,40,3,1,0.13333333333333333,120,2.1632423400878906,0.1,120,0.1466054916381836
79,8,10,4,40,3,1,0.06666666666666667,120,4.415636777877808,0.06666666666666667,120,0.14360666275024414
80,8,10,4,40,3,1,0.05,120,4.819718837738037,0.05,120,0.14323997497558594
81,9,10,4,40,3,2,0.5657894736842105,76,1.4214723110198975,0.5925925925925926,81,0.0741434097290039
82,9,10,4,40,3,2,0.3,120,1.6699352264404297,0.5957446808510638,94,0.10433554649353027
83,9,10,4,40,3,2,0.5909090909090909,88,1.8928918838500977,0.6086956521739131,92,0.10437679290771484
84,9,10,4,40,3,2,0.45,120,1.4297397136688232,0.3925233644859813,107,0.07339930534362793
85,9,10,4,40,3,2,0.5978260869565217,92,1.5373382568359375,0.4,120,0.07609272003173828
86,9,10,4,40,3,2,0.5915492957746479,71,1.9683737754821777,0.6144578313253012,83,0.07326602935791016
87,9,10,4,40,3,2,0.5783132530120482,83,1.647704839706421,0.5822784810126582,79,0.07385563850402832
88,9,10,4,40,3,2,0.43333333333333335,120,1.7598397731781006,0.39090909090909093,110,0.07741403579711914
89,9,10,4,40,3,2,0.5955056179775281,89,1.694072961807251,0.55,120,0.0867760181427002
90,9,10,4,40,3,2,0.43333333333333335,120,1.5781893730163574,0.6122448979591837,98,0.07341790199279785
91,10,10,4,40,3,5,0.5930232558139535,86,0.4358234405517578,0.61,100,0.03266549110412598
92,10,10,4,40,3,5,0.6020408163265306,98,0.5020387172698975,0.5679012345679012,81,0.03348803520202637
93,10,10,4,40,3,5,0.5903614457831325,83,0.592456579208374,0.6210526315789474,95,0.040434837341308594
94,10,10,4,40,3,5,0.5977011494252874,87,0.5676732063293457,0.5955056179775281,89,0.04149055480957031
95,10,10,4,40,3,5,0.5714285714285714,77,0.44463348388671875,0.5813953488372093,86,0.03316926956176758
96,10,10,4,40,3,5,0.5769230769230769,78,0.5513348579406738,0.5915492957746479,71,0.05813002586364746
97,10,10,4,40,3,5,0.6052631578947368,76,0.5831325054168701,0.6111111111111112,90,0.0392153263092041
98,10,10,4,40,3,5,0.5882352941176471,85,0.5174093246459961,0.6105263157894737,95,0.04687762260437012
99,10,10,4,40,3,5,0.6081081081081081,74,0.543402910232544,0.5945945945945946,74,0.03261923789978027
100,10,10,4,40,3,5,0.5918367346938775,98,0.5235536098480225,0.6,75,0.033063650131225586
101,11,20,2,40,3,0.1,0.016666666666666666,120,28.666913509368896,0.016666666666666666,120,0.41605138778686523
102,11,20,2,40,3,0.1,0.05,120,33.847437381744385,0.03333333333333333,120,0.48342180252075195
103,11,20,2,40,3,0.1,0.03333333333333333,120,31.82425594329834,0.05,120,0.6326212882995605
104,11,20,2,40,3,0.1,0.016666666666666666,120,35.45121622085571,0.03333333333333333,120,0.5030500888824463
105,11,20,2,40,3,0.1,0.0,110,25.171952486038208,0.0,110,0.34216904640197754
106,11,20,2,40,3,0.1,0.03333333333333333,120,24.222968816757202,0.03333333333333333,120,0.44132423400878906
107,11,20,2,40,3,0.1,0.03333333333333333,120,42.82992720603943,0.0,114,0.6029624938964844
108,11,20,2,40,3,0.1,0.05,120,22.853262186050415,0.05,120,0.39196014404296875
109,11,20,2,40,3,0.1,0.0,115,29.40356993675232,0.008695652173913044,115,0.3399801254272461
110,11,20,2,40,3,0.1,0.05,120,23.79975652694702,0.0,112,0.36095452308654785
111,12,20,2,40,3,0.5,0.03333333333333333,120,19.204555988311768,0.016666666666666666,120,0.23564481735229492
112,12,20,2,40,3,0.5,0.016666666666666666,120,9.562979459762573,0.0,108,0.08776497840881348
113,12,20,2,40,3,0.5,0.016666666666666666,120,10.059839010238647,0.016666666666666666,120,0.33977460861206055
114,12,20,2,40,3,0.5,0.016666666666666666,120,5.029058218002319,0.016666666666666666,120,0.3100869655609131
115,12,20,2,40,3,0.5,0.016666666666666666,120,4.278207778930664,0.03333333333333333,120,0.31151890754699707
116,12,20,2,40,3,0.5,0.016666666666666666,120,19.467058658599854,0.016666666666666666,120,0.329054594039917
117,12,20,2,40,3,0.5,0.03333333333333333,120,13.10021162033081,0.03333333333333333,120,0.3178257942199707
118,12,20,2,40,3,0.5,0.016666666666666666,120,18.677388429641724,0.016666666666666666,120,0.3167119026184082
